CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
0825888c,5200,10.2,156,2840,148,38.6,490,0.9,1735,1.165,Undersaturated,71400,Medium,0.179,0.41,110,0.289,70,130,39.7,50.6,52.22,42,19382,102.6,371,0.57,0.25,NA,0.24,NA,NA,1,NA,18.7,13000,16000,0,22500,0,14,9,34572.09251021309
0f2ec8c7,9490,18.3,107,3950,217,18.7,100,6.7,892,1.063,Undersaturated,27900,Very Strong,0.189,0.73,2420,0.258,1420,240,36,39.8,87.36,704.61,6314,0,NA,0.51,NA,0.93,0.53,NA,NA,12,20,50.3,27000,104500,0,NA,NA,4,0,110440.29550817795
e3080123,10640,11,238,5620,215,29.2,590,1.2,2989,1.21,Near Saturation,55400,NA,0.241,0.52,150,0.262,120,320,50.2,51.9,159.84,415.69,71053,588.58,445,0.63,0.25,0.945,0.25,NA,2.512,2,2,52.1,23000,31900,0,33700,0,8,4,NA
ea5a1944,2110,11.5,349,4270,121,44.1,1150,0.9,NA,1.1351,Undersaturated,113800,NA,0.108,0.75,60,0.387,40,280,39.3,46.4,111.38,98.7,990730,240.17,8895,0.58,0.26,NA,0.374,NA,NA,NA,NA,31.4,25000,28400,100,NA,23300,22,27,20988.045111892545
33486d3d,2450,34.2,357,1660,114,27.3,80,12.3,383,1.0294,Highly Undersaturated,80500,Medium,0.188,0.78,150,0.353,NA,1380,22.4,39.1,309.34,144.93,18035,474.66,58,NA,NA,0.9699,0.3351,NA,NA,4,5,9.9,101000,197500,0,380100,NA,NA,33,11599.195935759635
d8640142,8600,12.8,446,3780,222,17,240,NA,NA,1.11,Full Saturated,81600,Very Strong,0.163,0.39,600,0.373,400,370,28.8,29,107.6,1676.17,19395,1622.7,180,0.55,0.25,0.9117,0.3874,NA,NA,7,18,55.8,32000,100300,0,93500,0,6,2,NA
1fc661e3,4750,23.2,138,3350,135,23.3,370,5.9,3050,1.15,Near Saturation,116900,Weak,0.133,0.6,130,0.426,80,230,1.2,1.3,2.74,0,1537,0.54,561,0.34,0.2935,0.7443,0.18,NA,NA,1,NA,53.4,20000,0,0,36100,12600,18,16,25633.29605665931
39b528ae,9680,27.5,409,4660,225,24.9,90,3.3,560,1.05,Undersaturated,17900,Strong,0.27,0.43,1100,0.206,960,1250,30.3,47.3,379.22,126.34,25847,0,68,0.44,0.2322,0.826,NA,NA,NA,13,26,9.7,148000,148300,0,0,0,6,0,80334.35996560729
bcf16dfc,5860,15.1,152,3670,145,30.4,180,3.9,835,1.0581,Undersaturated,61400,Weak,0.224,0.83,140,0.289,110,360,31.3,38.1,113.38,258.71,15124,374.34,133,0.51,0.28,NA,0.36,NA,NA,NA,2,24.2,30000,47600,0,53200,NA,22,NA,20864.33940540645
e70547d2,9780,8.8,102,5210,207,20.3,130,9.2,1044,1.06,Undersaturated,42700,Medium,0.272,0.56,400,0.265,340,130,26.9,27.6,35.41,69.77,3417,0,NA,0.44,NA,0.67,0.44,NA,2.068,3,3,37.3,11000,22600,0,NA,0,5,0,102901.78449756
09539b90,8990,31.5,167,5010,156,17.2,100,39.4,997,1.046,Near Saturation,65300,Medium,0.281,0.65,280,0.325,290,820,22.5,26.2,183.21,889.61,13837,993.54,76,0.47,0.27,NA,0.3874,NA,NA,NA,3,55.7,NA,51500,0,54400,0,10,4,NA
d7efe00a,8880,22.2,99,4180,224,15.1,60,24.5,752,1.05,Undersaturated,47400,Very Strong,0.232,0.5,1290,0.317,880,240,25.9,NA,60.97,278.86,2802,140.84,46,NA,0.261,0.9,NA,NA,NA,4,NA,21.2,25000,50800,0,25500,0,5,1,93307.87062520045
4277a5d9,1670,26.1,302,1050,123,28,130,7.3,954,1.06,Undersaturated,113800,Medium,0.114,0.58,150,0.425,70,410,11.3,11.3,46.56,0.07,36088,0,775,0.44,0.283,0.8674,NA,NA,NA,2,NA,47.3,34200,100,0,0,0,38,0,NA
c39618e4,2260,14.9,70,1820,122,32.1,90,5.1,335,1.0303,Highly Undersaturated,62500,Weak,0.157,0.58,190,0.3,100,100,36.4,41.8,34.96,243.97,2267,280.22,65,NA,0.31,NA,0.482,2.85,2.03,1,NA,53.7,9000,NA,NA,26200,NA,12,10,39990.75696662476
e2dab847,1980,21,139,2150,164,23.9,230,8,1954,1.06,Near Saturation,NA,Medium,0.102,0.64,260,0.436,90,140,3.1,3.3,4.19,0,962,0,230,0.36,0.2722,0.8089,0.23,NA,NA,NA,NA,23.4,17000,0,NA,0,7900,13,3,32198.326823054904
5f11b39a,6570,23.7,251,4300,143,39.8,950,0.5,2885,1.3266,Undersaturated,72400,None,0.191,0.63,70,0.266,60,730,37.1,55,272.52,106.08,194833,465.39,715,0.54,NA,0.85,0.26,NA,2.43,1,2,19.5,54000,66600,0,125100,0,30,23,NA
96eb6ec7,11880,28.8,218,5960,256,23.7,40,3.9,244,1.046,Highly Undersaturated,1500,Very Strong,0.3,0.77,3010,0.153,3260,1740,47.6,50.1,830.89,2935.44,24592,0,30,0.54,NA,0.704,0.148,NA,NA,53,62,39.9,184000,653300,0,0,0,NA,0,121536.33004891744
a4d77c14,4300,23,365,NA,150,27.6,290,2.7,1485,1.099,Undersaturated,87000,Medium,0.137,0.57,190,0.358,110,540,14.8,16.4,79.9,1.64,65040,0,NA,0.4,0.27,NA,0.552,NA,2.33,2,4,30.4,47000,NA,NA,0,NA,22,0,22838.052051554605
314d3312,4140,34.4,263,2840,129,38.1,760,0.8,2475,1.2517,Undersaturated,98600,None,0.161,0.73,70,0.348,60,1090,20.5,NA,224.01,2.21,574093,175.8,2563,0.43,NA,0.885,0.42,NA,NA,1,NA,12.7,87500,3300,NA,147900,NA,41,45,11037.21650428346
919480d5,9310,22.8,276,4520,206,13.9,80,22.8,1050,1.0544,Near Saturation,55700,NA,0.216,0.73,1100,0.334,680,820,26,NA,213.91,1902.45,13231,1262.98,62,NA,0.27,0.83,0.39,NA,NA,NA,NA,38,71000,195300,0,111600,0,5,1,87860.45136118191
7cc7b528,10830,26.1,221,5440,227,35,100,1.4,455,1.058,Highly Undersaturated,5600,Strong,0.286,0.81,1070,0.163,NA,1390,37.1,44.6,516.61,469.97,39709,0,77,0.47,0.223,0.7711,0.33,NA,NA,NA,20,16,151000,192900,NA,0,0,5,0,88386.37285074103
aef5c645,6350,19.6,263,3760,156,NA,170,32,1574,1.06,Near Saturation,93300,Weak,0.185,0.67,180,0.387,NA,500,18.3,26.4,90.64,407.49,11377,490.05,126,0.5,0.297,0.674,0.472,NA,1.912,3,3,26.9,50800,52300,0,55800,0,10,7,45524.764858937706
b145650d,3660,20.1,314,2280,126,29,320,3,2055,1.1345,Undersaturated,110800,Weak,0.129,0.57,120,0.405,70,330,27.1,31.6,88.21,269.77,28265,372.1,320,0.57,0.29,0.8999,0.2693,NA,NA,1,2,25.9,30000,46000,0,67300,0,19,11,NA
2cf8ce75,6070,13.6,155,3130,175,33,330,NA,1449,1.11,Undersaturated,70400,Medium,0.196,0.51,200,0.304,140,180,22.6,24.9,39.81,2.61,17121,0,430,NA,NA,NA,0.35,2.6,NA,2,NA,26.4,13000,NA,0,0,0,7,0,70572.73910000887
934235de,3040,35.4,58,1870,NA,41.6,550,0.8,1689,1.181,Undersaturated,80200,Weak,0.158,0.59,130,0.296,100,180,48.7,55.3,86.98,219.06,35900,323.98,413,NA,0.255,NA,0.12,NA,NA,0,NA,44.5,17400,19900,0,26400,0,36,23,NA
dc1c0c3a,3440,15.1,95,2270,123,32.6,270,2.7,1155,NA,Undersaturated,90500,Weak,0.17,0.7,160,0.351,110,160,29.9,38.7,47.31,32.7,9733,84.77,206,0.54,NA,NA,NA,NA,NA,1,NA,16.1,12000,17200,NA,29600,0,18,8,26048.2434517995
17326eb9,4620,19.7,240,4000,139,41.1,1000,0.5,3624,1.288,Undersaturated,94700,Weak,0.138,0.42,110,0.323,80,240,18.4,58,44.47,0.02,207707,23.45,4671,0.36,NA,NA,NA,NA,NA,NA,NA,12.2,NA,100,100,53800,13500,26,NA,19236.306528066725
cb58a028,10870,23.8,385,4940,246,NA,410,0.6,1708,1.1586,Undersaturated,15500,Very Strong,0.239,0.64,1160,NA,1040,1360,48.6,55.2,659.93,1368.61,200840,0,304,0.57,0.2,NA,0.2173,NA,NA,NA,NA,39.9,119000,186300,0,0,0,5,0,NA
2f2eccee,6920,15.9,158,4370,155,25.4,140,9.6,985,1.05,Undersaturated,54500,Weak,0.182,0.67,160,0.291,100,290,31.3,36.8,89.5,267.02,9495,354.53,106,0.51,NA,NA,0.343,NA,NA,1,NA,29.9,26000,34300,0,36800,0,12,NA,34916.79383041483
fb2ff51b,10500,29.5,208,5020,239,30.5,580,1.1,3092,1.2192,Near Saturation,NA,Very Strong,0.211,0.72,460,0.28,390,1000,26.7,28.9,268.1,3.73,1643393,0,6130,0.33,0.2243,0.969,0.368,NA,2.38,NA,9,54.6,80000,NA,100,0,700,9,2,NA
cec94672,10950,11.4,252,5130,236,23.5,140,3.3,1012,1.073,Undersaturated,22300,Very Strong,0.282,0.49,1750,0.218,1590,430,44.9,50.1,193.27,1795.87,20615,0,107,0.55,NA,0.6843,NA,NA,1.77,22,NA,56.5,51000,256600,NA,0,0,4,0,117794.36343406996
ff1beb79,9650,23.3,306,3660,251,40.8,NA,0.3,2096,1.255,Undersaturated,11900,Very Strong,0.222,0.72,1020,0.167,910,1280,53,53.3,677.03,908.31,443285,0,655,NA,NA,NA,0.307,NA,2.199,24,NA,49.9,135000,NA,100,0,0,6,0,76945.52260203345
cb8b4b0c,7850,17.2,150,4320,184,41.7,150,1.2,530,1.057,Highly Undersaturated,17100,Medium,0.267,0.52,310,0.182,260,390,23.9,24.9,93.34,7.38,10375,0,111,0.31,0.24,NA,0.29,NA,NA,2,NA,47.8,NA,1400,NA,0,NA,10,NA,NA
bc1a3b9b,4350,38.4,87,2330,156,14.8,30,147.3,285,1.03,Highly Undersaturated,63200,Medium,0.189,0.51,790,0.36,380,280,18.2,20.4,51.51,610.43,1127,634.57,NA,0.47,NA,0.895,0.36,NA,NA,3,3,53.8,24500,34800,0,35500,NA,10,4,45317.70527509565
4301b6c5,1490,26.9,124,2150,105,30.4,330,5.2,1938,1.069,Undersaturated,122400,Weak,0.11,0.72,60,0.44,30,170,31.7,34.6,52.64,497.46,17190,558.79,NA,0.62,0.3091,0.8891,0.227,NA,2.029,0,NA,59.8,13000,33600,0,51300,NA,48,28,9729.443047017776
6dfe4a6d,7290,36.5,256,3340,199,25.1,60,6,NA,1.0434,Highly Undersaturated,28300,Very Strong,0.234,0.71,1060,0.245,NA,1550,21.4,NA,331.44,212.48,15929,0,48,NA,0.25,0.801,0.32,NA,NA,12,NA,11.3,128000,99600,0,0,0,8,0,59187.095394579956
df2158c6,4090,11.3,263,1950,145,17.1,NA,49.1,724,1.038,Undersaturated,91600,Strong,0.193,0.7,460,0.396,250,360,20.8,NA,75.48,81.7,4475,163.88,59,0.52,0.2747,NA,NA,NA,3.14,5,NA,11.3,27000,62900,0,NA,0,10,NA,41337.25533124118
e4d34549,2640,11.3,246,1380,127,36,250,1.4,1261,1.1103,Undersaturated,97700,Weak,0.134,0.42,110,0.366,NA,140,40.4,46.9,54.61,170.39,13905,235.24,255,0.62,NA,0.905,0.3652,NA,NA,1,NA,31.6,11000,26200,0,40100,0,18,NA,NA
ab8d7cad,4860,11.2,97,2900,142,27.4,160,7.2,918,1.0535,NA,81000,Weak,0.215,0.71,170,0.344,120,140,30.4,34,42.01,238.51,5152,280.73,123,0.54,NA,0.84,NA,NA,NA,1,NA,53.6,13100,15100,0,18300,NA,13,6,37863.80608718699
b549c62c,11440,39.3,147,5650,246,13.7,10,18.9,42,1.0391,Very Highly Undersaturated,1800,Very Strong,0.297,0.62,9240,0.162,8050,1180,43.9,48.5,516.98,7356.1,3517,3187.1,7,NA,0.24,0.725,NA,2.73,3.047,76,NA,47.9,85000,890200,0,358200,0,4,1,126893.38214262243
b9b16a57,10070,22.4,138,5390,207,23.9,330,3.1,2268,1.1232,Near Saturation,53900,Medium,0.213,0.81,230,0.279,NA,570,16.2,NA,91.47,0.19,636428,0,6958,NA,NA,NA,NA,NA,NA,2,3,54.7,50000,300,NA,0,5700,14,4,NA
1c106378,9680,12.8,296,4660,233,38.4,610,0.5,2275,1.2242,Undersaturated,39100,Medium,0.241,0.57,290,0.219,NA,520,37.2,39.7,193.69,127.15,133865,0,691,0.47,0.213,0.9323,0.498,NA,NA,2,NA,52.2,40000,13400,0,0,0,9,0,56652.04857029021
45084bcb,7060,21.1,188,2920,218,46.7,770,0.3,2361,1.3,Undersaturated,26600,Strong,0.185,0.35,280,0.185,250,300,24.5,NA,72.97,5.4,116693,0,1599,0.32,NA,NA,0.32,NA,NA,NA,2,40.2,30000,1600,0,0,NA,16,0,30670.177451853306
03732b14,11850,21.9,112,5800,265,23.7,970,NA,5231,1.38,Full Saturated,37200,Very Strong,0.22,0.86,1160,0.241,880,480,17.3,35.9,83.03,0.16,118875,0,1432,0.3,0.201,0.84,NA,NA,NA,12,NA,8.3,50000,300,100,0,100,4,1,122409.64933507203
d1415879,4950,12.5,202,3210,148,14.5,140,128,1549,1.049,Near Saturation,108000,Weak,0.157,0.46,130,0.422,70,160,6.9,21.5,10.97,2.97,1131,10.69,103,NA,NA,NA,0.2279,3.047,NA,1,1,6.2,13200,10200,0,26300,0,11,NA,NA
8d23c0f7,4300,39.5,173,2230,151,13,170,NA,2103,1.06,Full Saturated,119300,Medium,0.135,0.5,220,0.443,120,320,6,19.5,19.04,6.74,2439,23.39,128,NA,0.305,NA,0.35,NA,NA,NA,NA,5,32000,NA,NA,53600,0,NA,10,NA
8601cd36,5730,41.8,79,2660,186,17,110,20.7,1213,1.06,Near Saturation,79000,Strong,0.13,0.8,560,0.378,NA,290,20.8,26.4,60.79,171.92,5173,182.76,85,0.5,NA,NA,0.3528,NA,NA,NA,NA,34.6,29000,17200,0,17100,0,7,2,68613.22806802428
00a5298f,9930,11.3,252,5460,200,33.9,190,1.2,776,1.0749,Highly Undersaturated,14100,Medium,0.272,0.79,270,0.175,200,770,51.3,58.9,392.62,1191.08,56466,1567.33,144,0.6,0.25,NA,NA,NA,NA,3,NA,49,78000,95500,0,99500,0,12,5,35300.74035592843
9f1ddcd8,1690,11.5,210,1440,98,14.4,60,742.5,NA,1.02,Undersaturated,115900,Weak,0.121,0.67,190,0.439,70,140,5.7,12.1,7.92,24.29,335,33.42,42,0.47,NA,0.77,0.4019,NA,NA,1,3,6.9,10300,22300,0,41300,NA,13,5,36755.30949974648
cf22a785,11370,18.2,205,5770,224,36.4,750,0.5,2910,1.2803,Undersaturated,21100,Medium,0.243,0.82,310,0.183,250,810,28.7,30.6,232.26,25.49,231590,0,997,0.34,0.2242,NA,0.3572,NA,NA,3,5,32.9,80000,4200,0,0,NA,10,NA,49714.388185896096
2f898993,7950,21.2,175,5200,143,18,100,96.2,NA,1.04,Near Saturation,71300,Weak,0.266,0.66,110,0.332,90,530,17.5,24.3,93.37,621.05,6840,711.35,73,0.45,0.313,0.8757,0.35,NA,NA,NA,2,34.3,50100,58900,0,NA,NA,21,NA,21506.81912901512
c5001dd4,9420,16.3,119,4380,202,27.8,120,2.1,670,1.063,Undersaturated,21900,Very Strong,0.266,0.64,1020,0.211,870,410,52.1,57.9,212.33,510,19741,0,93,0.61,NA,0.83,0.2,2.203,NA,NA,NA,51.8,39000,62800,0,0,0,6,0,NA
eff14888,8860,15,108,4280,232,20.6,70,10.4,606,1.048,Undersaturated,30300,Very Strong,0.244,0.78,1090,0.255,820,310,30.6,33.9,94.09,573.83,4930,0,52,NA,NA,0.89,0.3432,NA,NA,NA,NA,55.8,NA,83400,0,0,0,5,0,NA
3c126d84,8990,37.2,273,5030,190,21.8,170,6.6,1193,1.07,Undersaturated,49600,Medium,0.245,0.76,240,NA,190,1920,8.5,13.3,163.77,2.42,20781,0,127,0.32,NA,0.86,0.26,NA,NA,4,NA,7.1,169000,1800,0,0,0,19,0,24066.787378345984
ad197348,7770,26.3,303,4060,185,37.6,1170,0.4,3889,1.4467,Near Saturation,NA,Weak,0.15,0.47,110,0.3,70,530,4.5,49.4,23.78,0,51674,0.82,2173,0.26,0.246,NA,0.146,3.22,2.26,1,2,5.5,37300,0,100,54700,NA,22,18,20565.640311159554
83aa9cfa,9920,8.6,126,4410,242,26.8,270,1.9,1732,1.11,Near Saturation,39300,Very Strong,0.205,0.6,1040,0.258,760,160,44.3,47.2,70.99,429.54,14202,0,200,0.57,0.224,NA,0.47,NA,NA,6,5,56.8,17000,47000,0,0,0,4,0,NA
9bb63a84,4120,12,278,1840,167,40.6,NA,1.5,490,1.0543,Highly Undersaturated,NA,Medium,0.198,0.68,430,0.252,NA,420,27.2,33.3,114.07,12.16,12075,0,106,0.45,0.24,NA,0.2673,NA,NA,5,11,17.7,39000,3100,0,0,0,NA,0,52846.21387204388
85d7cfad,2800,12.8,357,1530,154,23.5,160,7.9,1376,1.067,Undersaturated,113100,Strong,0.133,0.5,350,0.427,190,210,28.6,28.9,59.51,103.63,22183,0,373,0.55,NA,NA,0.17,NA,NA,5,NA,38.2,16000,17100,0,0,0,11,NA,39002.759702597345
b2916d43,2770,5.3,102,2860,104,37.6,660,1.4,2247,1.2,Undersaturated,114600,Weak,0.187,0.73,20,0.394,20,60,31,32.8,17.64,82.41,8689,104.77,493,NA,0.311,NA,0.46,NA,NA,0,0,38.2,5000,8500,0,12800,NA,33,25,13489.334792705697
514b04b3,11080,17.5,137,5720,228,27.8,380,1.7,2243,1.143,Near Saturation,38500,Medium,0.263,0.58,300,0.233,230,320,24.8,NA,78.08,18.78,22145,0,284,0.38,NA,NA,0.252,NA,NA,2,3,21.4,NA,4500,0,0,0,8,0,61132.23038900833
df1bef50,11950,12.9,214,5960,232,44.6,2040,0.2,5373,1.821,Near Saturation,6700,Very Strong,0.269,0.4,570,0.156,520,320,38.6,47.6,123,0.96,1739347,0,14141,0.24,NA,NA,0.27,NA,2.55,4,NA,34.8,37000,200,200,0,200,5,1,83126.98363427888
498449e9,3230,21.6,338,1690,126,31,230,2.2,934,1.075,Undersaturated,NA,Medium,0.171,0.48,170,0.34,NA,510,7,15.7,35.56,0.02,6155,0,173,0.36,NA,NA,0.41,NA,NA,2,NA,6.3,39000,0,0,0,NA,20,0,22921.26647752564
2c2b2551,5400,10.9,102,2990,170,16.6,210,17.8,1875,1.0764,Near Saturation,99800,NA,0.145,0.86,190,0.401,100,100,18.5,19.2,19.07,8.73,6961,0,365,0.46,NA,NA,0.402,NA,2.315,NA,NA,40.7,11000,2400,0,0,NA,7,0,70480.67119081222
3c66c3dd,10520,21.3,153,5160,230,33.9,110,1.3,477,1.059,Highly Undersaturated,6400,Very Strong,0.281,0.5,1130,0.166,1140,480,44.1,46.5,211.84,709.88,16870,0,80,NA,0.2192,0.64,0.2747,NA,NA,8,NA,43.6,52000,101800,NA,NA,0,NA,0,88883.53018468595
9dbdcd5f,8620,10.3,241,5010,153,41.1,530,0.7,NA,1.1753,Undersaturated,39600,Weak,0.257,0.52,170,0.207,170,350,53.4,NA,184.26,433.47,73584,643.8,399,0.63,0.2448,0.8777,0.256,NA,NA,2,NA,44,33000,41100,0,45000,0,8,4,53615.52305739242
